Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
organic-refined-granite-ball-soft-mint-green,Organic Refined Granite Ball - Soft mint green,Ut tenetur veritatis assumenda eaque autem voluptas tenetur laudantium. Autem delectus possimus qui soluta sed occaecati nobis. Facere deserunt ut expedita sit iure reiciendis sit ut.,"Schulist, Vandervort and MacGyver",Sports,data-generator,true,Title,Wooden gold - 5vd-it8,,,,,"",498,shopify,26,deny,manual,171.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/bath-bomb-advertisement.jpg?v=1529421103,1,,false,,,,,,,,,,,,,,,,,g,
adaptive-stand-alone-handmade-metal-shirt-steel-olive,Adaptive Stand-alone Handmade Metal Shirt - Steel olive,Architecto nobis aut. Nihil dicta rerum enim enim voluptates. Qui assumenda ab.,Schmidt LLC,Electronics,data-generator,true,Title,Steel black - pmc-qzo,,,,,"",0,shopify,50,deny,manual,284.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
adaptive-stand-alone-handmade-metal-shirt-steel-olive,,,,,,,,Rubber grey - tj0-4p0,,,,,"",230,shopify,40,deny,manual,289.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
adaptive-stand-alone-handmade-metal-shirt-steel-olive,,,,,,,,Granite red - il1-x51,,,,,"",0,shopify,31,deny,manual,203.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
enterprise-wide-gorgeous-rubber-chips-fresh-purple,Enterprise-wide Gorgeous Rubber Chips - Fresh purple,Quo velit sint. Praesentium nobis aut vel quam molestiae est. Omnis quos modi labore consequatur aut molestiae eum.,"Keeling, Kshlerin and Bednar",Shoes,data-generator,true,Title,Fresh blue - jfo-hqf,,,,,"",42,shopify,7,deny,manual,153.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/man-using-smartphone.jpg?v=1529421102,1,,false,,,,,,,,,,,,,,,,,g,
enterprise-wide-gorgeous-rubber-chips-fresh-purple,,,,,,,,Metal gold - e0b-r7y,,,,,"",294,shopify,46,deny,manual,65.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
enterprise-wide-gorgeous-rubber-chips-fresh-purple,,,,,,,,Plastic magenta - jzs-t49,,,,,"",0,shopify,29,deny,manual,34.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
object-based-gorgeous-cotton-shoes-concrete-lavender,Object-based Gorgeous Cotton Shoes - Concrete lavender,Iusto quidem nostrum. Aut adipisci modi non porro vel reiciendis et cumque. Quos accusamus aut. At sunt accusantium et qui reprehenderit non quod commodi. Vel accusantium et qui sunt.,Klein - Sporer,Outdoors,data-generator,true,Title,Wooden cyan - fum-k39,,,,,"",0,shopify,34,deny,manual,147.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/chicago-city-lights-at-night.jpg?v=1529421102,1,,false,,,,,,,,,,,,,,,,,g,
versatile-fantastic-wooden-fish-rubber-grey,Versatile Fantastic Wooden Fish - Rubber grey,Ratione voluptatem vel iure sit quidem dignissimos. Repudiandae quasi numquam fugiat deserunt et. Est ea in omnis ut. Incidunt in commodi. Blanditiis alias non. Ut saepe et distinctio voluptatem repellat et velit.,Waters Inc,Books,data-generator,true,Title,Steel magenta - g2k-nfg,,,,,"",482,shopify,30,deny,manual,46.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/dog-bandana_760ffdf2-a8fa-4959-893d-532eaafe92dc.jpg?v=1529421102,1,,false,,,,,,,,,,,,,,,,,g,
versatile-fantastic-wooden-fish-rubber-grey,,,,,,,,Steel sky blue - o22-m95,,,,,"",69,shopify,12,deny,manual,171.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
stand-alone-sharable-practical-cotton-bacon-rubber-yellow,Stand-alone Sharable Practical Cotton Bacon - Rubber yellow,Ex optio amet ut natus. Quo mollitia excepturi voluptatem culpa vero voluptatem laborum perferendis. Quia veniam nesciunt fuga veritatis sed nesciunt veritatis vel corporis. Quis et dolorum. Ullam voluptatum voluptatem exercitationem magni eius.,"Considine, Fay and Larkin",Health,data-generator,true,Title,Concrete blue - 9xi-y8d,,,,,"",156,shopify,37,deny,manual,284.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/city-skyline-morning.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
stand-alone-sharable-practical-cotton-bacon-rubber-yellow,,,,,,,,Rubber silver - la8-ugz,,,,,"",0,shopify,41,deny,manual,122.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
stand-alone-sharable-practical-cotton-bacon-rubber-yellow,,,,,,,,Metal violet - adg-oox,,,,,"",253,shopify,25,deny,manual,44.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
profound-sleek-cotton-pizza,Profound Sleek Cotton Pizza,Ut sed nam reiciendis fugiat unde assumenda. Veritatis necessitatibus magnam quis qui quia aut unde. Excepturi voluptatem autem nesciunt facilis similique sed quae.,"Wolf, Cummings and Lockman",Kids,data-generator,true,Title,Fresh indigo - 2wq-93k,,,,,"",375,shopify,15,deny,manual,289.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/boom-bomb-enamel-pin-denim.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
profound-sleek-cotton-pizza,,,,,,,,Concrete gold - 43b-dyv,,,,,"",358,shopify,22,deny,manual,50.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
assimilated-tasty-concrete-pants-plastic-olive,Assimilated Tasty Concrete Pants - Plastic olive,Pariatur sit ut ipsum eos ducimus et error dolorem. Nisi odio doloremque culpa quia. Animi sunt officiis est. Suscipit cum corrupti laborum quos consequatur.,"McKenzie, Wintheiser and Towne",Jewelery,data-generator,true,Title,Granite olive - 2iv-xec,,,,,"",150,shopify,33,deny,manual,146.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/dainty-gold-necklace.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
assimilated-tasty-concrete-pants-plastic-olive,,,,,,,,Fresh grey - nbg-5ff,,,,,"",242,shopify,1,deny,manual,69.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
assimilated-tasty-concrete-pants-plastic-olive,,,,,,,,Steel lavender - 5qu-i8t,,,,,"",256,shopify,10,deny,manual,32.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
distributed-fantastic-soft-pants,Distributed Fantastic Soft Pants,Maxime occaecati sapiente tenetur magnam nihil officiis occaecati aliquam voluptatum. Quo doloribus inventore et mollitia earum molestias similique sint. Ipsum quos aut ipsam quibusdam omnis. Expedita odit itaque incidunt velit et a. Accusantium voluptates fuga ut sit doloribus sit impedit quis nam. Aliquid sapiente fugiat ut occaecati vel cupiditate molestiae et.,Beier Group,Shoes,data-generator,true,Title,Metal green - 2yy-kz1,,,,,"",45,shopify,41,deny,manual,238.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/woman-using-smart-phone-with-case.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
networked-gorgeous-cotton-table-rubber-purple,Networked Gorgeous Cotton Table - Rubber purple,Similique facilis atque aut. Qui quo aut et tempora consequatur voluptatem labore iste. Eius eum labore voluptatem ut vero id. Voluptatibus doloremque dolores nulla excepturi consequatur sint omnis enim quasi. Saepe est sunt non blanditiis maiores sapiente. Dicta explicabo aut quia iste dicta aut placeat.,Kuhic - Muller,Garden,data-generator,true,Title,Granite magenta - 51k-eot,,,,,"",1,shopify,37,deny,manual,254.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/back-of-rainbow-pin.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
networked-gorgeous-cotton-table-rubber-purple,,,,,,,,Fresh azure - g5c-vrv,,,,,"",390,shopify,43,deny,manual,258.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
intuitive-monitored-fantastic-concrete-chair-fresh-cyan,Intuitive Monitored Fantastic Concrete Chair - Fresh cyan,Molestias ipsum animi aut veniam veniam fuga molestiae. Minima autem et dolorem doloribus quod suscipit expedita dignissimos est. Iste est ad velit. Ad consectetur sunt autem nostrum. Velit vel hic repellat libero fugit vitae. Dolores eaque nemo.,White Inc,Jewelery,data-generator,true,Title,Steel salmon - 94t-ktj,,,,,"",0,shopify,33,deny,manual,33.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/dog-in-sunlight.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
intuitive-monitored-fantastic-concrete-chair-fresh-cyan,,,,,,,,Rubber cyan - 9gv-2ow,,,,,"",53,shopify,26,deny,manual,272.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
object-based-fundamental-small-cotton-car,Object-based Fundamental Small Cotton Car,Aut cum nobis molestias veniam amet. Recusandae et id. Quo et voluptas. Voluptas deserunt aut voluptate dolorem tempora similique facilis.,King and Sons,Toys,data-generator,true,Title,Concrete olive - 6o2-vee,,,,,"",151,shopify,18,deny,manual,42.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
object-based-fundamental-small-cotton-car,,,,,,,,Concrete indigo - njb-cbj,,,,,"",0,shopify,50,deny,manual,230.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
diverse-tasty-rubber-ball,Diverse Tasty Rubber Ball,Consequuntur nihil in. Rerum aperiam deleniti velit qui quasi maxime. Consequatur non dolor vero fuga non ex sequi. Dolores quis in maxime repellat architecto tempora soluta qui. Impedit aut quam placeat id ut nihil.,Bernier - Boyer,Shoes,data-generator,true,Title,Fresh silver - u3a-4x5,,,,,"",0,shopify,48,deny,manual,33.00,,false,true,,,,,false,,,,,,,,,,,,,,,,,g,
diverse-tasty-rubber-ball,,,,,,,,Granite salmon - w31-so8,,,,,"",280,shopify,4,deny,manual,241.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
diverse-tasty-rubber-ball,,,,,,,,Fresh sky blue - ax6-i0o,,,,,"",0,shopify,23,deny,manual,198.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
sharable-secured-generic-concrete-chicken-metal-orange,Sharable Secured Generic Concrete Chicken - Metal orange,Doloribus animi rerum. Voluptates qui est sed unde vel. Sed eos tenetur non illum. Eligendi debitis cumque est similique.,Denesik - Kling,Shoes,data-generator,true,Title,Concrete lavender - dlu-5gy,,,,,"",0,shopify,47,deny,manual,40.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/crescent-moon-pose-side-stretch.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
sharable-secured-generic-concrete-chicken-metal-orange,,,,,,,,Cotton pink - yws-yqf,,,,,"",365,shopify,23,deny,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
sharable-secured-generic-concrete-chicken-metal-orange,,,,,,,,Cotton yellow - dsv-2ln,,,,,"",274,shopify,45,deny,manual,185.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
expanded-progressive-gorgeous-steel-pants-granite-black,Expanded Progressive Gorgeous Steel Pants - Granite black,Adipisci et omnis dolores iste excepturi. Nisi minima maxime ipsam ea mollitia dignissimos est corporis. Dolores itaque minima asperiores porro sed. Ea nesciunt aut et fugit architecto. Est neque ab. A molestiae suscipit eius sed occaecati ut et.,McLaughlin - Rath,Jewelery,data-generator,true,Title,Fresh orchid - 58d-zkw,,,,,"",0,shopify,24,deny,manual,274.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/choker-with-bead.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
expanded-progressive-gorgeous-steel-pants-granite-black,,,,,,,,Concrete blue - uwr-lon,,,,,"",0,shopify,7,deny,manual,214.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
expanded-progressive-gorgeous-steel-pants-granite-black,,,,,,,,Fresh pink - 1hf-bwb,,,,,"",420,shopify,7,deny,manual,62.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
visionary-cross-platform-gorgeous-metal-table-rubber-olive,Visionary Cross-platform Gorgeous Metal Table - Rubber olive,Sequi voluptatem sit voluptatibus. Aut aut voluptatem maxime consequatur. Aliquam perspiciatis eum doloribus pariatur corporis corporis. Assumenda veritatis debitis animi amet iste porro nemo ipsam. Ea qui reiciendis quisquam voluptates sint.,Flatley - Hand,Books,data-generator,true,Title,Cotton magenta - 7ei-ay0,,,,,"",0,shopify,24,deny,manual,81.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/strawberry-pin-on-jean-jacket.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
visionary-cross-platform-gorgeous-metal-table-rubber-olive,,,,,,,,Frozen white - qwc-1ef,,,,,"",423,shopify,17,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
visionary-cross-platform-gorgeous-metal-table-rubber-olive,,,,,,,,Concrete magenta - 5m4-5n9,,,,,"",52,shopify,17,deny,manual,20.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
operative-tasty-frozen-shoes,Operative Tasty Frozen Shoes,Odio voluptatem voluptate ut recusandae nostrum. Eius et eveniet architecto illo voluptates ullam est deserunt nemo. Quisquam dolor architecto porro molestiae aut adipisci velit fuga beatae.,Johns - Lind,Games,data-generator,true,Title,Metal black - f79-qlt,,,,,"",423,shopify,27,deny,manual,241.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/yoga-mat-closeup.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
operative-tasty-frozen-shoes,,,,,,,,Steel fuchsia - 51t-r9v,,,,,"",0,shopify,8,deny,manual,26.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
operative-tasty-frozen-shoes,,,,,,,,Fresh pink - 3ra-dd3,,,,,"",0,shopify,40,deny,manual,207.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
polarised-reduced-gorgeous-fresh-gloves,Polarised Reduced Gorgeous Fresh Gloves,Itaque eaque cum sint assumenda omnis neque blanditiis fuga. Aut quis quis. Repellendus exercitationem aut aut nesciunt quibusdam nihil.,Prosacco Group,Music,data-generator,true,Title,Metal silver - l56-bpr,,,,,"",0,shopify,35,deny,manual,266.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/dog-bandana.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
polarised-reduced-gorgeous-fresh-gloves,,,,,,,,Cotton purple - z81-9ph,,,,,"",0,shopify,13,deny,manual,111.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
fundamental-adaptive-awesome-plastic-keyboard-soft-fuchsia,Fundamental Adaptive Awesome Plastic Keyboard - Soft fuchsia,Aut maiores voluptates minima velit voluptas voluptas molestiae nihil at. Provident et aut aliquam. Aut atque minus amet vel. Porro deserunt voluptas est. Ea numquam est iste perspiciatis et accusantium distinctio. Minus distinctio voluptate quo qui quos labore.,Schultz LLC,Toys,data-generator,true,Title,Plastic orchid - ivm-hdr,,,,,"",0,shopify,42,deny,manual,25.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/homemade-lip-balm.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
fundamental-adaptive-awesome-plastic-keyboard-soft-fuchsia,,,,,,,,Fresh red - i6t-aj7,,,,,"",415,shopify,20,deny,manual,173.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
fundamental-adaptive-awesome-plastic-keyboard-soft-fuchsia,,,,,,,,Metal plum - z7y-hq5,,,,,"",163,shopify,5,deny,manual,144.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
object-based-handmade-plastic-hat-concrete-cyan,Object-based Handmade Plastic Hat - Concrete cyan,Deleniti aut numquam occaecati quibusdam rem dolores sed deserunt facilis. Autem delectus non reprehenderit dolor. Ut quos est quaerat voluptatem nihil. Tempore eum soluta quam. Vel sunt eveniet amet voluptas. Laboriosam ea praesentium.,Beahan Group,Beauty,data-generator,true,Title,Plastic lavender - a69-zmq,,,,,"",0,shopify,11,deny,manual,167.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/patterned-bangle.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
object-based-handmade-plastic-hat-concrete-cyan,,,,,,,,Soft tan - ff9-ogp,,,,,"",0,shopify,27,deny,manual,181.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
focused-intelligent-granite-shirt,Focused Intelligent Granite Shirt,Voluptate excepturi vero quidem. Repudiandae mollitia maxime nisi. Labore minima et impedit sed. Earum harum dolor doloribus consequatur. Excepturi consequatur laboriosam repellendus dolorum velit sapiente magnam eligendi neque. Iure eveniet omnis ut soluta.,"Connelly, Zulauf and Kuhlman",Health,data-generator,true,Title,Frozen silver - 6qn-rhy,,,,,"",306,shopify,49,deny,manual,195.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/iphone-6-flower-case.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
quality-focused-awesome-steel-computer-fresh-indigo,Quality-focused Awesome Steel Computer - Fresh indigo,Facere sed aspernatur reprehenderit consequatur error et nostrum voluptas. Itaque est debitis alias corrupti voluptate impedit nulla ducimus. Hic doloribus voluptas vitae velit esse voluptatibus. Ea voluptates et id sapiente quibusdam id. Soluta unde earum earum sit id rerum consectetur. Eveniet sequi autem.,Connelly - Ledner,Electronics,data-generator,true,Title,Concrete magenta - ghv-8cl,,,,,"",0,shopify,12,deny,manual,226.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/babys-ear-closeup.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
quality-focused-awesome-steel-computer-fresh-indigo,,,,,,,,Rubber violet - j87-v9a,,,,,"",0,shopify,2,deny,manual,99.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
quality-focused-awesome-steel-computer-fresh-indigo,,,,,,,,Granite cyan - xhr-uo7,,,,,"",0,shopify,22,deny,manual,71.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
secured-licensed-metal-sausages,Secured Licensed Metal Sausages,Deleniti soluta velit. Et eos dolores corrupti. Nam repellat aliquam nulla nihil assumenda tempora illum ipsa.,Kuvalis - King,Beauty,data-generator,true,Title,Rubber olive - niv-sbr,,,,,"",288,shopify,17,deny,manual,47.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/mini-drone-helicopter.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
secured-licensed-metal-sausages,,,,,,,,Concrete cyan - k01-86z,,,,,"",17,shopify,36,deny,manual,29.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
integrated-rustic-soft-shoes,Integrated Rustic Soft Shoes,Corporis tenetur itaque aut. Quos qui quo nulla consequuntur. Optio eius mollitia molestiae autem. Excepturi aperiam sed velit error accusantium enim tempora velit. Repellendus dolore et qui architecto aut alias earum temporibus. Veniam rem dolor assumenda saepe tenetur.,Wiegand - Waelchi,Games,data-generator,true,Title,Frozen green - b9m-6a8,,,,,"",448,shopify,20,deny,manual,122.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/iphone-volume-control-headphones.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
integrated-rustic-soft-shoes,,,,,,,,Fresh lime - 1fd-epe,,,,,"",468,shopify,17,deny,manual,84.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
integrated-rustic-soft-shoes,,,,,,,,Metal maroon - hvs-t2c,,,,,"",0,shopify,13,deny,manual,75.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
enhanced-face-to-face-refined-granite-bike,Enhanced Face to face Refined Granite Bike,Quia vel soluta soluta aliquam voluptatem molestiae dolorem ea voluptatem. Qui et quae sapiente recusandae repudiandae deleniti. Debitis non nulla officiis. Id amet quo assumenda enim ex.,Crooks - Nader,Books,data-generator,true,Title,Concrete maroon - 2xf-md8,,,,,"",448,shopify,22,deny,manual,262.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,g,
enhanced-face-to-face-refined-granite-bike,,,,,,,,Steel ivory - p5w-rly,,,,,"",404,shopify,29,deny,manual,86.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
cross-group-persevering-handcrafted-wooden-sausages-frozen-gold,Cross-group Persevering Handcrafted Wooden Sausages - Frozen gold,Architecto cum perspiciatis vero consectetur velit et qui. Nostrum sequi sint ullam quia aut id ut quia id. Ex ab nesciunt omnis blanditiis quibusdam a accusantium. Et quia maxime libero. Quasi atque et cum. Est sed voluptatem a delectus.,Green - Hirthe,Toys,data-generator,true,Title,Cotton tan - 6wr-n11,,,,,"",0,shopify,29,deny,manual,179.00,,false,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/woman-meditating-hip-opener.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
cross-group-persevering-handcrafted-wooden-sausages-frozen-gold,,,,,,,,Plastic orange - iid-j1q,,,,,"",0,shopify,8,deny,manual,242.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
profit-focused-tasty-fresh-ball-soft-lime,Profit-focused Tasty Fresh Ball - Soft lime,Quia dolorum nesciunt aut expedita quibusdam dolor hic ullam. Sed voluptas et optio molestiae. Corrupti enim sunt sed nostrum eum. Ab aliquid voluptate sunt. Vitae rerum ut iure voluptatem. Inventore doloribus ut saepe asperiores consequatur temporibus nisi.,Deckow - Cormier,Computers,data-generator,true,Title,Rubber gold - 8nj-tvj,,,,,"",369,shopify,3,deny,manual,188.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/dogs-wearing-bandanas.jpg?v=1529421101,1,,false,,,,,,,,,,,,,,,,,g,
profit-focused-tasty-fresh-ball-soft-lime,,,,,,,,Cotton grey - wqj-fts,,,,,"",221,shopify,25,deny,manual,255.00,,true,true,,,,,,,,,,,,,,,,,,,,,,g,
profit-focused-tasty-fresh-ball-soft-lime,,,,,,,,Concrete grey - uqg-y39,,,,,"",0,shopify,20,deny,manual,72.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
persevering-rustic-concrete-shirt-plastic-black,Persevering Rustic Concrete Shirt - Plastic black,Est reiciendis provident cupiditate aperiam recusandae eaque fugit sit. Commodi delectus consequuntur. Quia recusandae ut veritatis neque et qui eveniet aut. Tempore rem facilis assumenda voluptatem velit consequatur laboriosam sed. Officiis eum assumenda occaecati cupiditate. Iste et rerum nobis magnam.,Kub - Hilpert,Electronics,data-generator,true,Title,Soft orange - 1ou-unj,,,,,"",464,shopify,43,deny,manual,209.00,,true,true,,https://cdn.shopify.com/s/files/1/0019/4668/1410/products/purple-yoga-blocks.jpg?v=1529421100,1,,false,,,,,,,,,,,,,,,,,g,
persevering-rustic-concrete-shirt-plastic-black,,,,,,,,Rubber grey - p8d-6sb,,,,,"",0,shopify,17,deny,manual,263.00,,false,true,,,,,,,,,,,,,,,,,,,,,,g,
